Title,Price,Fuel,Mileage,Year
KIA Rio Berline,35 000,Essence,163 746,2016
Peugeot 3008,105 000,Essence,55 000,2022
Renault Clio Campus climatisée,30 500,Essence,116 000,2012
Chery Tiggo 3X Luxury,52 000,Essence,47 000,2022
Peugeot 3008,32 000,Essence,210 000,2010
KIA Rio Berline,52 000,Essence,90 500,2020
Hyundai Grand i10,43 500,Essence,43 200,2021
MG 5,58 000,Essence,37 000,2022
Mercedes-Benz Classe C,73 500,Essence,159 000,2012
Mercedes-Benz GLC Coupé AMG,260 000,Hybride,47 000,2021
Haval H6 Luxury,77 000,Essence,100 000,2019
Mercedes-Benz Classe E,67 000,Essence,197 000,2010
Mercedes-Benz Classe C coupé AMG,178 000,Hybride,86 000,2019
Land Rover Range Rover Evoque R-Dynamic,122 000,Diesel,150 000,2016
BMW Série 4 Gran Coupé,145 000,Essence,90 000,2019
Land Rover Range Rover Velar R-Dynamic,258 000,Diesel,55 000,2020
Mercedes-Benz GLA AMG,189 000,Essence,20 000,2023
Hyundai Kona Hybride N Line,97 500,Hybride,19 500,2020
Audi Q3,112 000,Essence,110 000,2019
Porsche Cayenne,152 000,Essence,195 000,2012
MG HS Trophy,103 000,Essence,35 000,2021
Mercedes-Benz Classe S S 350 phase 2,122 000,Essence,165 000,2010
Mercedes-Benz Classe C AMG,Sous leasing                    161 300,Essence,135 000,2019
Volkswagen Golf 7 Join,72 000,Essence,83 000,2018
Mercedes-Benz Classe S S350. Toit ouvrant,98 000,Essence,147 000,2009
Peugeot Partner Origin Utilitaire Pack Clim PM,56 000,Diesel,73 000,2019
KIA Sportage GT-Line,95 000,Diesel,139 000,2018
Cupra Formentor Sport,155 000,Essence,41 000,2022
Mercedes-Benz Classe C AMG,165 000,Hybride,54 000,2018
Mercedes-Benz Classe C AMG,165 000,Hybride,69 000,2020
Volkswagen Golf 7 Confortline,75 000,Essence,69 000,2020
KIA Rio 5p,51 000,Essence,145 000,2019
Mercedes-Benz Classe A,145 000,Hybride,66 000,2021
Volkswagen Golf 7,95 000,Essence,88 000,2018
BMW Série 1,55 000,Essence,144 000,2015
Volkswagen Golf 7 Join,76 500,Essence,120 000,2020
BMW X2 Lounge,199 000,Essence,0,2024
Land Rover Range Rover Evoque R-Dynamic,169 000,Diesel,59 000,2021
Volkswagen Golf 8 R-Line,110 000,Hybride,12 000,2022
Mercedes-Benz GLA AMG,122 000,Essence,30 000,2018
Mercedes-Benz GLC Coupé AMG,259 000,Hybride,50 000,2021
Mercedes-Benz Classe C AMG +,174 000,Essence,60 000,2021
Volkswagen T-roc 1.5,155 000,Hybride,9 000,2024
Mercedes-Benz Classe C AMG,197 000,Essence,32 000,2022
Land Rover Range Rover Evoque R-Dynamic S,218 000,Hybride,59 000,2021
Volkswagen Golf 8,115 000,Hybride,40 000,2020
Mercedes-Benz Classe C AMG +,248 000,Hybride,11 000,2024
Suzuki Jimny,89 500,Essence,60 000,2021
Mercedes-Benz Classe E coupé AMG,68 000,Essence,180 000,2010
Volkswagen T-roc Toit ouvrant,98 000,Essence,44 000,2020
Mercedes-Benz Classe C AMG,99 500,Essence,180 000,2016
Mercedes-Benz GLB AMG,184 000,Essence,16 000,2023
Mercedes-Benz Classe E AMG,435 000,Hybride,0,2024
Mercedes-Benz Classe C AMG,109 000,Essence,175 000,2016
BMW Série 5 Luxury Line,124 500,Essence,155 000,2017
Mercedes-Benz Classe A A200,169 000,Hybride,8 000,2024
KIA Sportage GT-Line,149 000,Hybride,40 000,2023
Land Rover Range Rover Velar R-Dynamic,268 000,Essence,33 000,2019
BMW Série 7 B7 ALPINA,158 000,Essence,115 000,2011
Volkswagen Golf 8 ÉDITION,89 500,Essence,45 000,2021
Mercedes-Benz Classe E AMG,450 000,Hybride,0,2024
Mercedes-Benz GLC Coupé AMG,415 000,Essence,0,2024
Mercedes-Benz CLA AMG,169 000,Hybride,42 000,2020
Audi Q5 Sportback S-Line,295 000,Hybride,45 000,2022
Mercedes-Benz Classe A A 200,124 000,Essence,57 000,2018
Mercedes-Benz CLA AMG,188 000,Essence,30 000,2023
Land Rover Range Rover Sport,178 000,Essence,180 000,2014
Porsche Panamera 4S E-hybride plugin,535 000,Hybride,32 000,2021
Mercedes-Benz GLC Coupé AMG,225 000,Essence,106 000,2016
Audi Q3 Sportback hybrid,175 000,Hybride,50 000,2021
Porsche Cayenne Coupé,380 000,Essence,37 000,2020
Jaguar F-Pace R-Dynamic S,269 000,Essence,27 000,2021
BMW X1 FACELIFT PACK M,129 000,Essence,87 000,2020
Mitsubishi L200 Sportero,168 000,Diesel,19 000,2022
Porsche Cayenne,510 000,Hybride,15 000,2022
Audi A5 Sportback S-Line,147 000,Essence,85 000,2020
Mercedes-Benz ML,88 000,Diesel,231 000,2010
Mercedes-Benz CLA,148 000,Diesel,93 000,2020
BMW X6,98 000,Essence,180 000,2011
Mercedes-Benz GLC Coupé,245 000,Hybride,70 000,2020
Mercedes-Benz Classe G,350 000,Diesel,168 000,2010
Peugeot 508,85 000,Essence,46 000,2020
Seat Leon Cupra,132 000,Essence,74 000,2020
Volkswagen Touareg,48 000,Diesel,308 000,2006
Mercedes-Benz Classe S,195 000,Hybride,79 000,2015
Peugeot 508,83 000,Essence,137 000,2019
Land Rover Range Rover Sport,340 000,Hybride,100 000,2019
BMW Série 5,178 000,Essence,93 000,2020
Mercedes-Benz GLC Coupé,400 000,Essence,0,2024
BMW Série 5,208 000,Essence,32 000,2021
Mercedes-Benz Classe G AMG,630 000,Essence,30 000,2015
Mercedes-Benz GLC,158 000,Essence,83 000,2016
Mercedes-Benz CLA,174 000,Hybride,69 000,2021
Citroën DS3,30 500,Essence,92 000,2017
Mini Clubman,100 000,Essence,34 000,2019
Mercedes-Benz Classe S,450 000,Hybride,40 000,2020
Nissan Qashqai,95 000,Essence,26 000,2022
Mercedes-Benz Classe E,245 000,Essence,9 000,2022
Mercedes-Benz GLC Coupé,360 000,Essence,6 600,2023
Audi A5 Sportback,170 000,Essence,58 000,2021
Seat Ateca,98 000,Essence,85 000,2020
Porsche Cayenne E-Hybrid,410 000,Hybride,86 000,2019
KIA Picanto GT-Line,54 500,Essence,63 000,2022
Toyota Prado,88 000,Diesel,449 000,2003
