Brand,Model,Fuel,Mileage,Year,Price
KIA,Rio Berline,Essence,163746,2016,35000
Peugeot,3008,Essence,55000,2022,105000
Renault,Clio Campus climatisée,Essence,116000,2012,30500
Chery,Tiggo 3X Luxury,Essence,47000,2022,52000
Peugeot,3008,Essence,210000,2010,32000
KIA,Rio Berline,Essence,90500,2020,52000
Hyundai,Grand i10,Essence,43200,2021,43500
MG,5,Essence,37000,2022,58000
Mercedes-Benz,Classe C,Essence,159000,2012,73500
Mercedes-Benz,GLC Coupé AMG,Hybride,47000,2021,260000
Haval,H6 Luxury,Essence,100000,2019,77000
Mercedes-Benz,Classe E,Essence,197000,2010,67000
Mercedes-Benz,Classe C coupé AMG,Hybride,86000,2019,178000
Land Rover,Range Rover Evoque R-Dynamic,Diesel,150000,2016,122000
BMW,Série 4 Gran Coupé,Essence,90000,2019,145000
Land Rover,Range Rover Velar R-Dynamic,Diesel,55000,2020,258000
Mercedes-Benz,GLA AMG,Essence,20000,2023,189000
Hyundai,Kona Hybride N Line,Hybride,19500,2020,97500
Audi,Q3,Essence,110000,2019,112000
Porsche,Cayenne,Essence,195000,2012,152000
MG,HS Trophy,Essence,35000,2021,103000
Mercedes-Benz,Classe S S 350 phase 2,Essence,165000,2010,122000
Mercedes-Benz,Classe C AMG,Essence,135000,2019,161300
Volkswagen,Golf 7 Join,Essence,83000,2018,72000
Mercedes-Benz,Classe S S350. Toit ouvrant,Essence,147000,2009,98000
Peugeot,Partner Origin Utilitaire Pack Clim PM,Diesel,73000,2019,56000
KIA,Sportage GT-Line,Diesel,139000,2018,95000
Cupra,Formentor Sport,Essence,41000,2022,155000
Mercedes-Benz,Classe C AMG,Hybride,54000,2018,165000
Mercedes-Benz,Classe C AMG,Hybride,69000,2020,165000
Volkswagen,Golf 7 Confortline,Essence,69000,2020,75000
KIA,Rio 5p,Essence,145000,2019,51000
Mercedes-Benz,Classe A,Hybride,66000,2021,145000
Volkswagen,Golf 7,Essence,88000,2018,95000
BMW,Série 1,Essence,144000,2015,55000
Volkswagen,Golf 7 Join,Essence,120000,2020,76500
BMW X,2 Lounge,Essence,0,2024,199000
Land Rover,Range Rover Evoque R-Dynamic,Diesel,59000,2021,169000
Volkswagen,Golf 8 R-Line,Hybride,12000,2022,110000
Mercedes-Benz,GLA AMG,Essence,30000,2018,122000
Mercedes-Benz,GLC Coupé AMG,Hybride,50000,2021,259000
Mercedes-Benz,Classe C AMG +,Essence,60000,2021,174000
Volkswagen,T-roc 1.5,Hybride,9000,2024,155000
Mercedes-Benz,Classe C AMG,Essence,32000,2022,197000
Land Rover,Range Rover Evoque R-Dynamic S,Hybride,59000,2021,218000
Volkswagen,Golf 8,Hybride,40000,2020,115000
Mercedes-Benz,Classe C AMG +,Hybride,11000,2024,248000
Suzuki,Jimny,Essence,60000,2021,89500
Mercedes-Benz,Classe E coupé AMG,Essence,180000,2010,68000
Volkswagen,T-roc Toit ouvrant,Essence,44000,2020,98000
Mercedes-Benz,Classe C AMG,Essence,180000,2016,99500
Mercedes-Benz,GLB AMG,Essence,16000,2023,184000
Mercedes-Benz,Classe E AMG,Hybride,0,2024,435000
Mercedes-Benz,Classe C AMG,Essence,175000,2016,109000
BMW,Série 5 Luxury Line,Essence,155000,2017,124500
Mercedes-Benz,Classe A A200,Hybride,8000,2024,169000
KIA,Sportage GT-Line,Hybride,40000,2023,149000
Land Rover,Range Rover Velar R-Dynamic,Essence,33000,2019,268000
BMW,Série 7 B7 ALPINA,Essence,115000,2011,158000
Volkswagen,Golf 8 ÉDITION,Essence,45000,2021,89500
Mercedes-Benz,Classe E AMG,Hybride,0,2024,450000
Mercedes-Benz,GLC Coupé AMG,Essence,0,2024,415000
Mercedes-Benz,CLA AMG,Hybride,42000,2020,169000
Audi,Q5 Sportback S-Line,Hybride,45000,2022,295000
Mercedes-Benz,Classe A A 200,Essence,57000,2018,124000
Mercedes-Benz,CLA AMG,Essence,30000,2023,188000
Land Rover,Range Rover Sport,Essence,180000,2014,178000
Porsche,Panamera 4S E-hybride plugin,Hybride,32000,2021,535000
Mercedes-Benz,GLC Coupé AMG,Essence,106000,2016,225000
Audi,Q3 Sportback hybrid,Hybride,50000,2021,175000
Porsche,Cayenne Coupé,Essence,37000,2020,380000
Jaguar,F-Pace R-Dynamic S,Essence,27000,2021,269000
BMW X,1 FACELIFT PACK M,Essence,87000,2020,129000
Mitsubishi,L200 Sportero,Diesel,19000,2022,168000
Porsche,Cayenne,Hybride,15000,2022,510000
Audi,A5 Sportback S-Line,Essence,85000,2020,147000
Mercedes-Benz,ML,Diesel,231000,2010,88000
Mercedes-Benz,CLA,Diesel,93000,2020,148000
BMW X,6,Essence,180000,2011,98000
Mercedes-Benz,GLC Coupé,Hybride,70000,2020,245000
Mercedes-Benz,Classe G,Diesel,168000,2010,350000
Peugeot,508,Essence,46000,2020,85000
Seat,Leon Cupra,Essence,74000,2020,132000
Volkswagen,Touareg,Diesel,308000,2006,48000
Mercedes-Benz,Classe S,Hybride,79000,2015,195000
Peugeot,508,Essence,137000,2019,83000
Land Rover,Range Rover Sport,Hybride,100000,2019,340000
BMW,Série 5,Essence,93000,2020,178000
Mercedes-Benz,GLC Coupé,Essence,0,2024,400000
