Price,Title,Fuel,Mileage,Year
35000,KIA Rio Berline,Essence,163746.0,2016
105000,Peugeot 3008,Essence,55000.0,2022
30500,Renault Clio Campus climatisée,Essence,116000.0,2012
52000,Chery Tiggo 3X Luxury,Essence,47000.0,2022
32000,Peugeot 3008,Essence,210000.0,2010
52000,KIA Rio Berline,Essence,90500.0,2020
43500,Hyundai Grand i10,Essence,43200.0,2021
58000,MG 5,Essence,37000.0,2022
73500,Mercedes-Benz Classe C,Essence,159000.0,2012
260000,Mercedes-Benz GLC Coupé AMG,Hybride,47000.0,2021
77000,Haval H6 Luxury,Essence,100000.0,2019
67000,Mercedes-Benz Classe E,Essence,197000.0,2010
178000,Mercedes-Benz Classe C coupé AMG,Hybride,86000.0,2019
122000,Land Rover Range Rover Evoque R-Dynamic,Diesel,150000.0,2016
145000,BMW Série 4 Gran Coupé,Essence,90000.0,2019
258000,Land Rover Range Rover Velar R-Dynamic,Diesel,55000.0,2020
189000,Mercedes-Benz GLA AMG,Essence,20000.0,2023
97500,Hyundai Kona Hybride N Line,Hybride,19500.0,2020
112000,Audi Q3,Essence,110000.0,2019
152000,Porsche Cayenne,Essence,195000.0,2012
103000,MG HS Trophy,Essence,35000.0,2021
122000,Mercedes-Benz Classe S S 350 phase 2,Essence,165000.0,2010
161300,Mercedes-Benz Classe C AMG,Essence,135000.0,2019
72000,Volkswagen Golf 7 Join,Essence,83000.0,2018
98000,Mercedes-Benz Classe S S350. Toit ouvrant,Essence,147000.0,2009
56000,Peugeot Partner Origin Utilitaire Pack Clim PM,Diesel,73000.0,2019
95000,KIA Sportage GT-Line,Diesel,139000.0,2018
155000,Cupra Formentor Sport,Essence,41000.0,2022
165000,Mercedes-Benz Classe C AMG,Hybride,54000.0,2018
165000,Mercedes-Benz Classe C AMG,Hybride,69000.0,2020
75000,Volkswagen Golf 7 Confortline,Essence,69000.0,2020
51000,KIA Rio 5p,Essence,145000.0,2019
145000,Mercedes-Benz Classe A,Hybride,66000.0,2021
95000,Volkswagen Golf 7,Essence,88000.0,2018
55000,BMW Série 1,Essence,144000.0,2015
76500,Volkswagen Golf 7 Join,Essence,120000.0,2020
199000,BMW X2 Lounge,Essence,0.0,2024
169000,Land Rover Range Rover Evoque R-Dynamic,Diesel,59000.0,2021
110000,Volkswagen Golf 8 R-Line,Hybride,12000.0,2022
122000,Mercedes-Benz GLA AMG,Essence,30000.0,2018
259000,Mercedes-Benz GLC Coupé AMG,Hybride,50000.0,2021
174000,Mercedes-Benz Classe C AMG +,Essence,60000.0,2021
155000,Volkswagen T-roc 1.5,Hybride,9000.0,2024
197000,Mercedes-Benz Classe C AMG,Essence,32000.0,2022
218000,Land Rover Range Rover Evoque R-Dynamic S,Hybride,59000.0,2021
115000,Volkswagen Golf 8,Hybride,40000.0,2020
248000,Mercedes-Benz Classe C AMG +,Hybride,11000.0,2024
89500,Suzuki Jimny,Essence,60000.0,2021
68000,Mercedes-Benz Classe E coupé AMG,Essence,180000.0,2010
98000,Volkswagen T-roc Toit ouvrant,Essence,44000.0,2020
99500,Mercedes-Benz Classe C AMG,Essence,180000.0,2016
184000,Mercedes-Benz GLB AMG,Essence,16000.0,2023
435000,Mercedes-Benz Classe E AMG,Hybride,0.0,2024
109000,Mercedes-Benz Classe C AMG,Essence,175000.0,2016
124500,BMW Série 5 Luxury Line,Essence,155000.0,2017
169000,Mercedes-Benz Classe A A200,Hybride,8000.0,2024
149000,KIA Sportage GT-Line,Hybride,40000.0,2023
268000,Land Rover Range Rover Velar R-Dynamic,Essence,33000.0,2019
158000,BMW Série 7 B7 ALPINA,Essence,115000.0,2011
89500,Volkswagen Golf 8 ÉDITION,Essence,45000.0,2021
450000,Mercedes-Benz Classe E AMG,Hybride,0.0,2024
415000,Mercedes-Benz GLC Coupé AMG,Essence,0.0,2024
169000,Mercedes-Benz CLA AMG,Hybride,42000.0,2020
295000,Audi Q5 Sportback S-Line,Hybride,45000.0,2022
124000,Mercedes-Benz Classe A A 200,Essence,57000.0,2018
188000,Mercedes-Benz CLA AMG,Essence,30000.0,2023
178000,Land Rover Range Rover Sport,Essence,180000.0,2014
535000,Porsche Panamera 4S E-hybride plugin,Hybride,32000.0,2021
225000,Mercedes-Benz GLC Coupé AMG,Essence,106000.0,2016
175000,Audi Q3 Sportback hybrid,Hybride,50000.0,2021
380000,Porsche Cayenne Coupé,Essence,37000.0,2020
269000,Jaguar F-Pace R-Dynamic S,Essence,27000.0,2021
129000,BMW X1 FACELIFT PACK M,Essence,87000.0,2020
168000,Mitsubishi L200 Sportero,Diesel,19000.0,2022
510000,Porsche Cayenne,Hybride,15000.0,2022
147000,Audi A5 Sportback S-Line,Essence,85000.0,2020
88000,Mercedes-Benz ML,Diesel,231000.0,2010
148000,Mercedes-Benz CLA,Diesel,93000.0,2020
98000,BMW X6,Essence,180000.0,2011
245000,Mercedes-Benz GLC Coupé,Hybride,70000.0,2020
350000,Mercedes-Benz Classe G,Diesel,168000.0,2010
85000,Peugeot 508,Essence,46000.0,2020
132000,Seat Leon Cupra,Essence,74000.0,2020
48000,Volkswagen Touareg,Diesel,308000.0,2006
195000,Mercedes-Benz Classe S,Hybride,79000.0,2015
83000,Peugeot 508,Essence,137000.0,2019
340000,Land Rover Range Rover Sport,Hybride,100000.0,2019
178000,BMW Série 5,Essence,93000.0,2020
400000,Mercedes-Benz GLC Coupé,Essence,0.0,2024
208000,BMW Série 5,Essence,32000.0,2021
630000,Mercedes-Benz Classe G AMG,Essence,30000.0,2015
158000,Mercedes-Benz GLC,Essence,83000.0,2016
174000,Mercedes-Benz CLA,Hybride,69000.0,2021
30500,Citroën DS3,Essence,92000.0,2017
100000,Mini Clubman,Essence,34000.0,2019
450000,Mercedes-Benz Classe S,Hybride,40000.0,2020
95000,Nissan Qashqai,Essence,26000.0,2022
245000,Mercedes-Benz Classe E,Essence,9000.0,2022
360000,Mercedes-Benz GLC Coupé,Essence,6600.0,2023
170000,Audi A5 Sportback,Essence,58000.0,2021
98000,Seat Ateca,Essence,85000.0,2020
410000,Porsche Cayenne E-Hybrid,Hybride,86000.0,2019
54500,KIA Picanto GT-Line,Essence,63000.0,2022
88000,Toyota Prado,Diesel,449000.0,2003
47000,BYD F3,Essence,10000.0,2022
350000,Land Rover Range Rover Sport,Hybride,37000.0,2020
115000,Volkswagen Golf 7,Essence,73000.0,2017
375000,Porsche Macan,Essence,6900.0,2023
174000,BMW Série 3,Essence,80000.0,2021
190000,Audi Q3,Essence,2000.0,2024
370000,Porsche Cayenne Coupé,Essence,59000.0,2019
350000,Toyota Land Cruiser,Diesel,98000.0,2016
58000,Mini 5 portes,Essence,75000.0,2015
340000,Mercedes-Benz Classe E coupé,Hybride,86000.0,2018
82000,Peugeot 3008,Essence,87000.0,2019
56000,Toyota RAV 4,Essence,280000.0,2016
45500,Fiat 500 C,Essence,71000.0,2017
240000,Mercedes-Benz GLC Coupé,Diesel,52000.0,2020
42000,Suzuki Swift,Essence,69000.0,2020
76000,Toyota Corolla,Essence,32000.0,2022
92500,Ssangyong Korando,Essence,80000.0,2021
225000,Jeep Wrangler Sahara,Essence,115000.0,2018
40000,Peugeot 2008 Allure,Essence,96000.0,2015
100000,BMW Série 4 Gran Coupé,Essence,121000.0,2019
95000,Volkswagen Tiguan,Essence,123000.0,2021
59000,BMW Série 3 318i,Essence,200000.0,2015
25500,Peugeot 307,Essence,110451.0,2007
118000,Mercedes-Benz Classe A AMG,Diesel,96000.0,2019
139500,Mini Countryman All4,Hybride,33000.0,2020
58000,MG ZS,Essence,110000.0,2021
245000,Mercedes-Benz Classe C,Essence,7300.0,2022
120000,KIA Sportage Hybride,Hybride,53000.0,2020
115000,BMW Série 1 Pack M,Essence,110.0,2020
55000,Fiat 500 Dolcevita,Hybride,78000.0,2021
49500,Fiat Tipo 5 portes,Essence,68000.0,2021
49500,Renault Clio,Diesel,138000.0,2020
99000,Mercedes-Benz Classe C,Essence,158000.0,2015
39500,Suzuki Celerio,Essence,0.0,2024
48500,Volkswagen Golf 7,Essence,153000.0,2015
