Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
108609,audi,q2,99 500DT,78 000km,12.2018,SUV/4x4,Automatique,999cm³,4.0,7cv,Traction,Essence
107671,audi,a6,99 500DT,117 000km,10.2015,Berline,Automatique,1798cm³,4.0,10cv,Traction,Essence
107646,audi,a4,85 000DT,141 000km,4.2017,Berline,Automatique,1398cm³,4.0,8cv,Traction,Essence
107403,audi,q3-sportback,152 000DT,122 000km,3.2021,SUV/4x4,Automatique,1398cm³,4.0,9cv,Traction,Essence
106393,audi,a5-coupe,48 000DT,201 000km,10.2011,Coupé,Automatique,1998cm³,2.0,10cv,Traction,Essence
106355,audi,a5-coupe,53 000DT,168 000km,8.2009,Coupé,Automatique,1998cm³,2.0,13cv,Traction,Essence
104167,audi,a4,46 000DT,233 000km,1.2011,Berline,Manuelle,1798cm³,4.0,7cv,Traction,Essence
101733,audi,q7,69 000DT,180 000km,4.201,SUV/4x4,Automatique,2967cm³,5.0,16cv,Traction,Diesel
100354,audi,a4,50 000DT,241 000km,11.2008,Berline,Automatique,1984cm³,4.0,11cv,Traction,Essence
99061,audi,a4,50 000DT,175 000km,9.2014,Berline,Manuelle,,,7cv,Traction,Essence
97437,audi,q7,60 000DT,249 000km,6.2006,SUV/4x4,Automatique,,,16cv,Traction,Diesel
108592,audi,q3-sportback,168 000DT,85 000km,5.2021,Coupé,Automatique,1395cm³,5.0,8cv,Traction,Hybride rechargeable essence
108978,audi,a1-sportback,112 000DT,15 000km,11.2023,Compacte,Automatique,999cm³,5.0,6cv,Traction,Essence
107199,audi,q5,78 000DT,270 000km,2.2014,SUV/4x4,Automatique,1998cm³,5.0,10cv,Traction,Diesel
104059,audi,a3-sportback,69 000DT,128 000km,8.2018,Compacte,Manuelle,1198cm³,5.0,6cv,Traction,Essence
109166,audi,a3-sportback,128 000DT,14 000km,5.2023,Coupé,Automatique,1333cm³,5.0,6cv,Traction,Essence
104595,audi,q5,47 000DT,255 000km,7.2009,SUV/4x4,Automatique,2000cm³,5.0,13cv,Traction,Essence
108459,audi,a3-sportback,78 500DT,125 000km,10.2019,Coupé,Manuelle,1200cm³,5.0,6cv,Traction,Essence
107031,audi,a3-sportback,69 000DT,210 000km,6.2018,Coupé,Manuelle,1000cm³,5.0,6cv,Traction,Essence
108282,audi,a3-berline,125 000DT,40 000km,6.2023,Berline,Automatique,1400cm³,4.0,8cv,Intégrale,Essence
109453,audi,q3,165 000DT,81 602km,11.202,SUV/4x4,Automatique,1498cm³,4.0,8cv,Traction,Hybride essence
107723,audi,a5-sportback,92 000DT,198 000km,9.2018,Berline,Automatique,1395cm³,4.0,8cv,Traction,Essence
109014,audi,a4,68 000DT,210 000km,4.2017,Berline,Automatique,1600cm³,5.0,8cv,Propulsion,Essence
106850,audi,a5-sportback,210 000DT,34 502km,9.2021,Berline,Automatique,1999cm³,4.0,8cv,Traction,Essence
106588,audi,q3,175 000DT,77 986km,6.2021,SUV/4x4,Automatique,1498cm³,4.0,8cv,Propulsion,Hybride rechargeable essence
100511,audi,q5,110 000DT,176 000km,1.2015,SUV/4x4,Automatique,2000cm³,4.0,10cv,Traction,Diesel
108232,audi,a3-sportback,64 500DT,154 000km,12.2016,Compacte,Manuelle,1197cm³,5.0,6cv,Traction,Essence
107206,audi,a5-sportback,142 000DT,102 000km,1.2021,Berline,Automatique,1984cm³,5.0,8cv,Traction,Essence
106481,audi,a3-berline,119 000DT,56 000km,7.2022,Berline,Automatique,1395cm³,5.0,8cv,Traction,Essence
105939,audi,a7-sportback,295 000DT,86 000km,6.2022,Berline,Automatique,2995cm³,5.0,23cv,Intégrale,Essence
108895,audi,a5-sportback,170 000DT,58 000km,5.2021,Berline,Automatique,2000cm³,4.0,8cv,Traction,Essence
101884,audi,a5-sportback,147 000DT,85 000km,6.202,Berline,Automatique,1400cm³,4.0,8cv,Traction,Essence
103838,audi,q3,112 000DT,110 000km,11.2019,SUV/4x4,Automatique,1498cm³,5.0,9cv,Propulsion,Essence
109024,audi,a3-berline,88 000DT,17 000km,7.202,Berline,Manuelle,1200cm³,5.0,6cv,Traction,Essence
107799,audi,q3,165 000DT,3 000km,8.2023,Citadine,Automatique,1998cm³,5.0,9cv,Traction,Essence
105418,audi,a5-sportback,109 000DT,120 000km,8.2019,Berline,Automatique,1799cm³,5.0,8cv,Traction,Essence
105294,audi,q5,295 000DT,40 000km,5.2021,SUV/4x4,Automatique,2000cm³,5.0,11cv,Traction,Diesel
104724,audi,a3-berline,85 000DT,50 000km,7.2019,Berline,Automatique,1000cm³,5.0,6cv,Traction,Essence
104652,audi,q3,95 000DT,95 000km,8.2017,SUV/4x4,Automatique,1599cm³,5.0,7cv,Traction,Essence
104572,audi,a4,58 000DT,143 000km,1.2016,Berline,Automatique,1799cm³,5.0,7cv,Traction,Essence
104245,audi,q5,165 000DT,170 000km,4.2019,SUV/4x4,Automatique,2000cm³,5.0,12cv,Traction,Diesel
103893,audi,q8,398 000DT,16 000km,8.2021,SUV/4x4,Automatique,3000cm³,5.0,23cv,Traction,Essence
102085,audi,q3,90 000DT,100 000km,11.2017,SUV/4x4,Automatique,1799cm³,5.0,7cv,Traction,Essence
