Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,bmw,109125,Citadine,Noir,Noir,1598cm³,20.12.2024,Tunis,(F20) 5 portes07/2011 - 02/2015,120 000km,BMW,04.2012,serie-1-5p,Série 1,,5,4,53 000DT,,,7cv,,Tissu,Traction,Essence
Automatique,bmw,109084,Berline,Gris anthracite,Beige,1598cm³,20.12.2024,Ariana,(F30) Berline01/2011 - 08/2015,127 000km,BMW,05.2012,serie-3,Série 3,,5,4,51 500DT,,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,108742,Berline,Noir,Marron,1998cm³,20.12.2024,Ariana,(G30) LCI Berline07/2020 - Aujourd'hui,58 000km,BMW,06.2022,serie-5,Série 5,,5,4,236 500DT,,,10cv,,Similicuir,Traction,Hybride diesel
Automatique,bmw,108476,Berline,Gris anthracite,Beige,1988cm³,20.12.2024,Ariana,(F30) Berline01/2011 - 08/2015,139 000km,BMW,07.2012,serie-3,Série 3,,5,4,61 500DT,,,10cv,,Similicuir,Traction,Essence
Manuelle,bmw,108096,Coupé,Gris argent,Marron,1598cm³,20.12.2024,Ben Arous,,232 000km,BMW,09.2009,serie-3-coupe,Série 3 coupé,,4,2,39 900DT,,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,107978,Berline,Blanc,Marron,2998cm³,20.12.2024,Ariana,,200 000km,BMW,12.2012,serie-7,Série 7,,5,4,155 500DT,,,20cv,,Similicuir,Traction,Diesel
Manuelle,bmw,107778,Berline,Rouge,Beige,1598cm³,20.12.2024,Ariana,(E90) LCI Berline10/2008 - 12/2010,241 000km,BMW,11.2008,serie-3,Série 3,316i 1.6 i 16V,5,4,41 000DT,116ch dyn,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,107560,Berline,Noir,Beige,1598cm³,20.12.2024,Ariana,(G30) Berline02/2017 - 06/2020,135 000km,BMW,01.2018,serie-5,Série 5,,5,4,134 000DT,,,10cv,,Similicuir,Traction,Essence
Automatique,bmw,107460,SUV/4x4,Noir,Autre,2998cm³,20.12.2024,Ariana,(E70)12/2006 - 03/2010,283 000km,BMW,11.2007,x5,X5,,7,5,68 500DT,,,15cv,,Similicuir,Traction,Diesel
Automatique,bmw,106756,Berline,Blanc,Marron,1998cm³,20.12.2024,Ariana,(F10) Berline05/2010 - 12/2013,197 000km,BMW,08.2012,serie-5,Série 5,,5,4,79 900DT,,,10cv,,Similicuir,Traction,Essence
Automatique,bmw,106399,SUV/4x4,Noir,Beige,3498cm³,20.12.2024,Tunis,,159 000km,BMW,07.2010,x5,X5,,5,5,86 000DT,,,19cv,,Similicuir,Traction,Diesel
Automatique,bmw,106096,SUV/4x4,Noir,Noir,1498cm³,20.12.2024,Tunis,(F48) LCI07/2019 - Aujourd'hui,78 000km,BMW,05.2020,x1,X1,,5,4,98 000DT,,,8cv,,Alcantara,Traction,Essence
Automatique,bmw,106013,SUV/4x4,Noir,Noir,2998cm³,20.12.2024,Ben Arous,(E70)12/2006 - 03/2010,295 000km,BMW,11.2007,x5,X5,,5,4,65 000DT,,,16cv,,Similicuir,Traction,Diesel
Automatique,bmw,105519,Berline,Noir,Marron,1498cm³,20.12.2024,Ben Arous,(F30) LCI Berline09/2015 - 03/2019,177 000km,BMW,05.2018,serie-3,Série 3,318i 1.5 16V,5,4,85 000DT,136ch dyn,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,105377,Berline,Blanc,Marron,1999cm³,20.12.2024,Ben Arous,(F10) Berline05/2010 - 12/2013,179 000km,BMW,09.2013,serie-5,Série 5,,5,4,79 500DT,,,10cv,,Similicuir,Traction,Essence
Automatique,bmw,105376,Coupé,Noir,Beige,1498cm³,20.12.2024,Ben Arous,(F36) LCI Gran Coupé03/2017 - 07/2021,99 000km,BMW,03.2019,serie-4-gran-coupe,Série 4 Gran Coupé,418i 1.5 i 12V Steptronic8,5,4,115 000DT,136ch dyn,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,104680,Berline,Noir,Noir,1598cm³,20.12.2024,Ben Arous,(F10) LCI Berline01/2014 - 01/2017,151 000km,BMW,10.2016,serie-5,Série 5,,5,4,120 000DT,,,9cv,,Similicuir,Traction,Essence
Manuelle,bmw,104328,Citadine,Rouge,Noir,1598cm³,20.12.2024,Ariana,(F20) LCI 5 portes03/2015 - 09/2019,105 000km,BMW,01.2016,serie-1-5p,Série 1,,5,4,58 000DT,,,6cv,,Alcantara,Traction,Essence
Automatique,bmw,104237,Coupé,Noir,Marron,1498cm³,20.12.2024,Ben Arous,(F44) Gran Coupé11/2019 - Aujourd'hui,61 000km,BMW,11.2020,serie-2-gran-coupe,Série 2 Gran Coupé,,5,4,120 000DT,,,8cv,,Similicuir,Traction,Essence
Automatique,bmw,103996,SUV/4x4,Bleu,Beige,1499cm³,20.12.2024,Tunis,(F39)10/2017 - 12/2023,75 000km,BMW,12.2020,x2,X2,,5,5,134 000DT,,,8cv,,Similicuir,Traction,Essence
Automatique,bmw,101464,SUV/4x4,Noir,Noir,4398cm³,20.12.2024,Ariana,M (F16)04/2015 - 11/2019,85 000km,BMW,09.2015,x6,X6,,5,4,335 000DT,,,34cv,,Similicuir,Traction,Essence
Automatique,bmw,99623,Berline,Blanc,Marron,1499cm³,20.12.2024,Ben Arous,(F30) LCI Berline09/2015 - 03/2019,152 000km,BMW,05.2016,serie-3,Série 3,,5,4,85 000DT,,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,99121,Coupé,Blanc,,,20.12.2024,Ben Arous,(F32) Coupé07/2013 - 02/2017,151 000km,BMW,07.2014,serie-4-coupe,Série 4 Coupé,,,,86 000DT,,,10cv,,,Traction,Essence
Automatique,bmw,97922,SUV/4x4,Noir,Beige,1998cm³,20.12.2024,Ben Arous,(F25)09/2010 - 08/2017,219 000km,BMW,06.2014,x3,X3,,5,5,75 000DT,,,11cv,,Similicuir,Traction,Essence
Automatique,bmw,95527,Berline,Noir,Beige,1598cm³,20.12.2024,Ben Arous,(F30) Berline01/2011 - 08/2015,201 000km,BMW,12.2014,serie-3,Série 3,,5,4,69 000DT,,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,95441,Berline,Noir,,,20.12.2024,Ben Arous,(F30) LCI Berline09/2015 - 03/2019,167 000km,BMW,01.2016,serie-3,Série 3,,,,80 000DT,,,7cv,,,Traction,Essence
Automatique,bmw,81461,Berline,Blanc,,,20.12.2024,Ben Arous,(G30) Berline02/2017 - 06/2020,30 000km,BMW,07.2019,serie-5,Série 5,,,,225 000DT,,,10cv,,,Traction,Essence
Automatique,bmw,81959,Berline,Blanc,Noir,899cm³,19.12.2024,Tunis,(F36) Gran Coupé03/2014 - 02/2017,120 000km,BMW,01.2017,serie-4-gran-coupe,Série 4 Gran Coupé,,5,5,115 000DT,,,7cv,,Cuir intégral,Propulsion,Essence
Automatique,bmw,107786,SUV/4x4,Noir,Marron,3000cm³,19.12.2024,Tunis,(G05)11/2018 - Aujourd'hui,112 000km,BMW,08.2020,x5,X5,30d xDrive 3.0 d 24V Steptronic8,5,4,265 000DT,265ch dyn,,14cv,,Cuir intégral,Traction,Essence
Automatique,bmw,101321,Berline,Noir,Beige,1598cm³,19.12.2024,Tunis,(G30) Berline02/2017 - 06/2020,132 000km,BMW,06.2018,serie-5,Série 5,520i 1.6 i 16V Steptronic8,5,4,130 000DT,170ch dyn,,10cv,,Cuir intégral,Propulsion,Essence
Automatique,bmw,108086,SUV/4x4,Bleu,Beige,1500cm³,19.12.2024,Ben Arous,(F39)10/2017 - 12/2023,74 000km,BMW,12.2020,x2,X2,,5,5,132 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,bmw,105849,Coupé,Gris argent,Noir,1500cm³,19.12.2024,Ben Arous,(F40) 5 portes09/2019 - Aujourd'hui,40 000km,BMW,08.2022,serie-1-5p,Série 1,,5,5,138 500DT,,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,106325,Berline,Noir,Beige,1600cm³,19.12.2024,Ben Arous,(F10) LCI Berline01/2014 - 01/2017,182 000km,BMW,07.2014,serie-5,Série 5,,5,5,75 000DT,,,9cv,,Cuir intégral,Traction,Essence
Automatique,bmw,106643,SUV/4x4,Noir,Beige,1499cm³,19.12.2024,Ben Arous,(F48)09/2015 - 06/2019,126 000km,BMW,04.2016,x1,X1,,5,5,85 000DT,,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,107896,Berline,Noir,Marron,2000cm³,19.12.2024,Ariana,,80 000km,BMW,04.2018,serie-7,Série 7,,5,4,275 000DT,,,15cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,107861,Berline,Noir,Beige,4400cm³,19.12.2024,Ariana,,160 000km,BMW,11.2008,serie-7,Série 7,,5,4,85 000DT,,,31cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,107859,Berline,Blanc,Beige,1600cm³,19.12.2024,Ariana,(G30) Berline02/2017 - 06/2020,70 000km,BMW,07.2018,serie-5,Série 5,,5,4,147 000DT,,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,107858,Berline,Noir,Noir,1500cm³,19.12.2024,Ariana,(F30) LCI Berline09/2015 - 03/2019,120 000km,BMW,02.2019,serie-3,Série 3,,5,4,90 000DT,,,7cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,109456,SUV/4x4,Blanc,Noir,1998cm³,19.12.2024,Monastir,(G02)04/2018 - 06/2021,119 000km,BMW,01.2019,x4,X4,30i xDrive 2.0 i 16V,5,5,234 000DT,252ch dyn,,16cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,102960,Berline,Noir,Noir,2979cm³,19.12.2024,Sousse,(F02) Limousine11/2008 - 06/2012,140 000km,BMW,07.2009,serie-7,Série 7,740Li 3.0 i 24V Steptronic-6,5,4,89 000DT,326ch dyn,,23cv,,Cuir intégral,Traction,Essence
Automatique,bmw,105014,Berline,Blanc,Noir,1500cm³,19.12.2024,Sousse,,48 000km,BMW,07.2017,serie-4-gran-coupe,Série 4 Gran Coupé,,5,4,100 000DT,,,7cv,,Similicuir,Traction,Essence
Automatique,bmw,107733,SUV/4x4,Noir,Noir,1499cm³,19.12.2024,Sousse,(F48) LCI07/2019 - Aujourd'hui,133 000km,BMW,05.2020,x1,X1,,5,4,92 000DT,,,8cv,,Tissu,Traction,Essence
Automatique,bmw,109351,Berline,Noir,Beige,1500cm³,19.12.2024,Tunis,(F36) LCI Gran Coupé03/2017 - 07/2021,120 000km,BMW,05.2019,serie-4-gran-coupe,Série 4 Gran Coupé,,5,5,98 000DT,,,7cv,,Tissu,Propulsion,Essence
Manuelle,bmw,109268,Coupé,Gris argent,Gris,2500cm³,19.12.2024,Ariana,(E46) Berline01/1997 - 12/2003,300 000km,BMW,06.2000,serie-3,Série 3,320i 2.0 i 24V 150cv,4,2,37 500DT,150ch dyn,,10cv,,Similicuir,Traction,Essence
Automatique,bmw,109266,Citadine,Blanc,Noir,2000cm³,19.12.2024,Ariana,(F30) Berline01/2011 - 08/2015,280 000km,BMW,07.2013,serie-3,Série 3,320i 1.6 16V ed,5,4,62 000DT,170ch dyn,,10cv,,Cuir intégral,Traction,Essence
Manuelle,bmw,109263,Citadine,Noir,Noir,3000cm³,19.12.2024,Ariana,(E53)01/2000 - 11/2006,310 000km,BMW,09.2003,x5,X5,3.0 d 24V,5,4,39 000DT,184ch dyn,,11cv,,Cuir intégral,Traction,Diesel
Automatique,bmw,109013,Coupé,Noir,Beige,2000cm³,19.12.2024,Tunis,,10 000km,BMW,04.2021,serie-4-coupe,Série 4 Coupé,,5,3,225 000DT,,,10cv,,Cuir partiel,Traction,Essence
Automatique,bmw,108974,Citadine,Noir,Rouge,1600cm³,19.12.2024,Ariana,(F30) Berline01/2011 - 08/2015,170 000km,BMW,05.2013,serie-3,Série 3,316i 1.6 16V,5,4,65 000DT,136ch dyn,,7cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108973,Citadine,Noir,Marron,2000cm³,19.12.2024,Ariana,(E60) LCI Berline01/2007 - 04/2010,270 000km,BMW,05.2011,serie-5,Série 5,520d 2.0 d 16V 163cv,5,4,59 000DT,163ch dyn,,10cv,,Cuir intégral,Traction,Diesel
Automatique,bmw,108560,SUV/4x4,Noir,Beige,3000cm³,19.12.2024,Ariana,(E71)05/2008 - 06/2014,190 000km,BMW,03.2010,x6,X6,30d xDrive 3.0 d 24V,4,4,95 000DT,235ch dyn,,15cv,,Similicuir,Traction,Diesel
Automatique,bmw,108524,Berline,Noir,Beige,5000cm³,19.12.2024,Ariana,(G11) Berline09/2015 - Aujourd'hui,150 000km,BMW,08.2009,serie-7,Série 7,740i 3.0 i 24V,5,4,92 000DT,326ch dyn,,31cv,,Cuir intégral,Traction,Essence
Automatique,bmw,107635,Berline,Noir,Marron,1600cm³,19.12.2024,Tunis,(G30) LCI Berline07/2020 - Aujourd'hui,173 000km,BMW,03.2021,serie-5,Série 5,,5,5,138 000DT,,,10cv,,Cuir intégral,Traction,Essence
Automatique,bmw,107173,Berline,Noir,Beige,1600cm³,19.12.2024,Tunis,(F30) Berline01/2011 - 08/2015,210 000km,BMW,05.2013,serie-3,Série 3,316i 1.6 16V,5,5,63 500DT,136ch dyn,,7cv,,Cuir intégral,Propulsion,Essence
Manuelle,bmw,107033,Berline,Blanc,Noir,2400cm³,19.12.2024,Tunis,(E30)01/1982 - 12/1989,180 000km,BMW,05.1988,serie-3,Série 3,324d 2.4 d 86cv,5,5,20 900DT,86ch dyn,,7cv,,Tissu,Propulsion,Diesel
Automatique,bmw,106941,Berline,Bleu,Noir,3000cm³,19.12.2024,Tunis,(E60) Berline05/2003 - 12/2006,190 000km,BMW,10.2005,serie-5,Série 5,535d 3.0 d 272cv,5,5,87 000DT,272ch dyn,,18cv,,Cuir partiel,Propulsion,Diesel
Automatique,bmw,106932,SUV/4x4,Noir,Beige,3000cm³,19.12.2024,Tunis,(E71)05/2008 - 06/2014,200 000km,BMW,02.2010,x6,X6,30d xDrive 3.0 d 24V DPF,4,5,98 000DT,245ch dyn,,15cv,,Cuir intégral,Intégrale,Diesel
Automatique,bmw,106739,Compacte,Blanc,Noir,1600cm³,19.12.2024,Tunis,(F20) 5 portes07/2011 - 02/2015,115 000km,BMW,06.2015,serie-1-5p,Série 1,118i 1.6 i 16V,5,4,62 000DT,170ch dyn,,9cv,,Tissu,Intégrale,Essence
Automatique,bmw,109329,Berline,Noir,Noir,1995cm³,19.12.2024,Sfax,(F10) Berline05/2010 - 12/2013,200 000km,BMW,01.2011,serie-5,Série 5,520d 2.0 d DPF 16V,5,5,81 000DT,184ch dyn,,10cv,,Cuir intégral,Traction,Diesel
Manuelle,bmw,104056,Coupé,Blanc,Noir,2000cm³,19.12.2024,Ariana,(E92) LCI Coupé11/2008 - 06/2013,152 000km,BMW,02.2012,serie-3-coupe,Série 3 coupé,320i 2.0 i 16V,4,2,74 000DT,170ch dyn,,10cv,,Cuir intégral,Traction,Essence
Automatique,bmw,108177,Berline,Gris argent,Noir,1600cm³,19.12.2024,Ariana,(E81)01/2007 - 12/2011,131 766km,BMW,04.2009,serie-1-5p,Série 1,116i 1.6 i 16V,5,4,40 000DT,122ch dyn,,7cv,,Tissu,Traction,Essence
Automatique,bmw,107922,SUV/4x4,Noir,Beige,3000cm³,19.12.2024,Ariana,(E83)10/2003 - 07/2006,186 000km,BMW,01.2006,x3,X3,3.0 d,5,4,65 000DT,204ch dyn,,13cv,,Cuir intégral,Traction,Diesel
Automatique,bmw,106496,Coupé,Noir,Beige,2000cm³,19.12.2024,Ariana,(E92) LCI Coupé11/2008 - 06/2013,156 000km,BMW,02.2010,serie-3-coupe,Série 3 coupé,320i 2.0 i 16V,4,2,62 000DT,170ch dyn,,9cv,,Cuir intégral,Traction,Essence
Automatique,bmw,100618,Berline,Noir,Noir,1600cm³,19.12.2024,Ariana,(F30) Berline01/2011 - 08/2015,112 000km,BMW,03.2013,serie-3,Série 3,316i 1.6 16V,5,4,65 000DT,136ch dyn,,7cv,,Cuir partiel,Traction,Essence
Automatique,bmw,109066,Berline,Noir,Beige,1499cm³,19.12.2024,Tunis,(F30) LCI Berline09/2015 - 03/2019,142 000km,BMW,04.2016,serie-3,Série 3,318i 1.5 16V,5,5,79 000DT,136ch dyn,,7cv,,Similicuir,Traction,Essence
Manuelle,bmw,109064,Citadine,Blanc,Marron,1598cm³,19.12.2024,Tunis,(F30) Berline01/2011 - 08/2015,131 000km,BMW,07.2015,serie-3,Série 3,316i 1.6 16V,5,5,66 000DT,136ch dyn,,7cv,,Similicuir,Traction,Essence
Manuelle,bmw,109063,Berline,Gris anthracite,Beige,1998cm³,19.12.2024,Tunis,(F30) LCI Berline09/2015 - 03/2019,92 000km,BMW,07.2016,serie-3,Série 3,320i 2.0 TPT 16V,5,5,92 000DT,184ch dyn,,10cv,,Similicuir,Traction,Essence
Automatique,bmw,108412,Compacte,Noir,Noir,1499cm³,19.12.2024,Tunis,(F20) LCI 5 portes03/2015 - 09/2019,111 074km,BMW,11.2019,serie-1-5p,Série 1,,5,5,81 000DT,,,7cv,,Tissu,Traction,Essence
Automatique,bmw,108399,SUV/4x4,Noir,Marron,1998cm³,19.12.2024,Tunis,(G02)04/2018 - 06/2021,50 000km,BMW,09.2019,x4,X4,20i xDrive 2.0 i 16V,5,5,243 000DT,184ch dyn,,11cv,,Cuir intégral,Intégrale,Essence
Automatique,bmw,106843,SUV/4x4,Noir,Marron,1499cm³,19.12.2024,Tunis,(U11)07/2022 - Aujourd'hui,21 000km,BMW,09.2023,x1,X1,18i sDrive 1.5 i 12V DKG7,5,5,175 000DT,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
Automatique,bmw,106641,SUV/4x4,Noir,Marron,1995cm³,19.12.2024,Tunis,(F15)08/2013 - 10/2018,214 000km,BMW,01.2018,x5,X5,,5,5,170 000DT,,,13cv,,Cuir intégral,Intégrale,Diesel
Automatique,bmw,106640,SUV/4x4,Noir,Noir,1995cm³,19.12.2024,Tunis,(G01)09/2017 - 07/2021,69 500km,BMW,06.2020,x3,X3,18d sDrive 2.0 d 16V Steptronic8,5,5,220 000DT,150ch dyn,,8cv,,Cuir intégral,Traction,Diesel
Automatique,bmw,105677,Coupé,Blanc,Marron,1998cm³,19.12.2024,Tunis,,20 500km,BMW,03.2023,serie-4-coupe,Série 4 Coupé,,5,3,265 000DT,,,10cv,,Cuir intégral,Traction,Essence
Automatique,bmw,104988,SUV/4x4,Rouge,Beige,1499cm³,19.12.2024,Tunis,(F39)10/2017 - 12/2023,38 000km,BMW,11.2018,x2,X2,,5,5,132 000DT,,,7cv,,Cuir intégral,Propulsion,Essence
