Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,hyundai,109469,Citadine,Gris anthracite,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,56 000km,Hyundai,11.2022,grand-i10,Grand i10,1.2 83cv boite auto,5,4,47 500DT,83ch dyn,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,109248,Citadine,Noir,Noir,1198cm³,20.12.2024,Ariana,II phase 111/2020 - 11/2023,62 000km,Hyundai,09.2021,grand-i10,Grand i10,1.2 83cv boite auto,5,4,50 500DT,83ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108865,Autres,Blanc,Noir,2198cm³,20.12.2024,Ben Arous,01/1998 - 12/2007,999 999km,Hyundai,09.2006,h-1,H-1,,9,3,18 000DT,,,10cv,,Tissu,Traction,Essence
Automatique,hyundai,108863,Citadine,Blanc,Noir,999cm³,20.12.2024,Ariana,III Phase 110/2020 - 11/2023,21 000km,Hyundai,08.2023,i20,i20,1.0 T-GDI 12V GPF DCT7,5,4,79 000DT,100ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108796,Citadine,Rouge,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,82 000km,Hyundai,08.2022,grand-i10,Grand i10,,5,4,42 000DT,,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,108703,SUV/4x4,Blanc,Noir,1598cm³,20.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,109 000km,Hyundai,10.2021,tucson-hybride,Tucson Hybride,,5,4,120 000DT,,,7cv,,Similicuir,Traction,Hybride diesel
Manuelle,hyundai,108535,Autres,Blanc,Noir,2198cm³,20.12.2024,Ben Arous,01/1998 - 12/2007,224 000km,Hyundai,03.2002,h-1,H-1,,3,2,23 000DT,,,8cv,,Tissu,Traction,Diesel
Manuelle,hyundai,108434,Autres,Blanc,Noir,2498cm³,20.12.2024,Ben Arous,,26 000km,Hyundai,11.2021,autre,Autre,,3,3,72 000DT,,,8cv,,Tissu,Traction,Diesel
Automatique,hyundai,108130,Citadine,Rouge,Noir,999cm³,20.12.2024,Ben Arous,I01/2014 - 10/2020,97 000km,Hyundai,02.2020,grand-i10,Grand i10,1.2 87cv boite auto,5,4,41 500DT,87ch dyn,,4cv,,Tissu,Traction,Essence
Manuelle,hyundai,107219,Citadine,Noir,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,43 000km,Hyundai,02.2021,grand-i10,Grand i10,,5,4,41 900DT,,,4cv,,Tissu,Traction,Essence
Manuelle,hyundai,106655,Citadine,Noir,Gris,1198cm³,20.12.2024,Ben Arous,II 5 Portes11/2014 - 07/2018,132 000km,Hyundai,12.2016,i20,i20,,5,4,43 000DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,106012,Citadine,Noir,Noir,1198cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,34 000km,Hyundai,12.2022,grand-i10,Grand i10,,5,4,49 000DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,105059,Coupé,Gris argent,Noir,1598cm³,20.12.2024,Ben Arous,Coupé01/2002 - 12/2006,138 000km,Hyundai,01.2003,coupe,Coupe,,4,2,30 000DT,,,7cv,,Tissu,Traction,Essence
Automatique,hyundai,102539,SUV/4x4,Gris argent,Noir,1598cm³,20.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,40 000km,Hyundai,01.2022,tucson-hybride,Tucson Hybride,,5,4,167 000DT,,,7cv,,Similicuir,Traction,Hybride diesel
Automatique,hyundai,93674,Citadine,Orange,,,20.12.2024,Ben Arous,FL (SB)01/2015 - Aujourd'hui,140 000km,Hyundai,08.2016,veloster,Veloster,,,,44 900DT,,,8cv,,,Traction,Essence
Manuelle,hyundai,109464,Citadine,Bleu,Gris,998cm³,19.12.2024,Gabès,II phase 111/2020 - 11/2023,79 500km,Hyundai,05.2021,grand-i10,Grand i10,1.0 65cv populaire,5,5,38 500DT,65ch dyn,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,108969,SUV/4x4,Noir,Noir,1598cm³,19.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,115 000km,Hyundai,07.2021,tucson,Tucson,1.6 CRDi 16V Mild Hybrid 4WD DCT7 S&S,5,5,117 000DT,,,7cv,136ch dyn,Alcantara,Traction,Hybride diesel
Automatique,hyundai,108001,SUV/4x4,Gris Shark,Gris,1600cm³,19.12.2024,Ariana,IV10/2020 - Aujourd'hui,0km,Hyundai,09.2024,tucson,Tucson,,5,4,212 000DT,,,7cv,,Cuir partiel,Intégrale,Hybride diesel
Manuelle,hyundai,109451,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,I01/2014 - 10/2020,159 000km,Hyundai,05.2017,grand-i10,Grand i10,,5,5,33 800DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108935,Berline,Bleu,Noir,1200cm³,19.12.2024,Tunis,01/2015 - 10/2020,90 000km,Hyundai,02.2019,grand-i10-sedan,Grand i10 Sedan,1.2 L,5,5,34 900DT,87ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108336,Compacte,Noir,Noir,1000cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,19 000km,Hyundai,03.2022,grand-i10,Grand i10,,5,5,44 500DT,,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,105293,Autres,Noir,Noir,1598cm³,19.12.2024,Sfax,III phase 207/2018 - 10/2020,82 648km,Hyundai,07.2020,tucson,Tucson,,5,4,120 000DT,,,7cv,,Cuir intégral,Propulsion,Hybride diesel
Automatique,hyundai,109187,SUV/4x4,Gris anthracite,Marron,2000cm³,19.12.2024,Ariana,Phase 110/2009 - 08/2013,324 765km,Hyundai,01.2013,ix35,ix35,2.0 CRDi 16V DPF 4WD,5,4,55 000DT,184ch dyn,,11cv,,Similicuir,Intégrale,Diesel
Automatique,hyundai,108400,SUV/4x4,Rouge,Noir,1497cm³,19.12.2024,Tunis,I Phase 210/2018 - 09/2023,90 500km,Hyundai,02.2020,creta,Creta,1.6 l,5,5,74 000DT,123ch dyn,,6cv,,Similicuir,Traction,Essence
Automatique,hyundai,105425,SUV/4x4,Gris Shark,Beige,1600cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,11 500km,Hyundai,05.2023,tucson,Tucson,1.6 TGDi 16V 4WD DCT7,5,5,142 000DT,150ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,hyundai,108705,SUV/4x4,Beige,Noir,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,40 000km,Hyundai,11.2022,tucson,Tucson,1.6 l T-GDI 7-DCT 4WD,5,5,147 000DT,180ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,hyundai,107314,SUV/4x4,Beige,Beige,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,19 000km,Hyundai,06.2023,tucson,Tucson,,5,5,129 000DT,,,9cv,,Cuir intégral,Traction,Essence
Automatique,hyundai,105051,SUV/4x4,Gris anthracite,Noir,2000cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,120 000km,Hyundai,01.2022,tucson-hybride,Tucson Hybride,,5,5,138 000DT,,,10cv,,Cuir intégral,Traction,Hybride essence
Automatique,hyundai,104302,SUV/4x4,Blanc,Noir,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,80 000km,Hyundai,08.2021,tucson-hybride,Tucson Hybride,,5,5,137 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Manuelle,hyundai,100062,SUV/4x4,Bleu,Noir,1599cm³,19.12.2024,Tunis,Phase 210/2020 - Aujourd'hui,30 000km,Hyundai,10.2021,kona,Kona,1.6 GDi 16V 141 Hybrid 2WD DCT6 S&S,5,5,79 000DT,,141ch dyn,6cv,105ch dyn,Tissu,Traction,Hybride essence
Manuelle,hyundai,99925,Citadine,Gris anthracite,Noir,1199cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,30 000km,Hyundai,08.2022,grand-i10,Grand i10,,5,5,53 000DT,,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,99645,Citadine,Vert,Noir,1199cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,54 000km,Hyundai,04.2021,grand-i10,Grand i10,,5,5,53 000DT,,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,97904,SUV/4x4,Vert,Noir,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,24 000km,Hyundai,07.2023,tucson,Tucson,,5,5,161 000DT,,,10cv,,Cuir intégral,Traction,Essence
Automatique,hyundai,97901,SUV/4x4,Noir,,,19.12.2024,Tunis,III phase 207/2018 - 10/2020,120 000km,Hyundai,01.2020,tucson,Tucson,,,,87 000DT,,,8cv,,,Traction,Essence
Manuelle,hyundai,107911,Citadine,Noir,Noir,1600cm³,19.12.2024,Tunis,,76 000km,Hyundai,01.2019,creta,Creta,,5,5,74 000DT,,,7cv,,Tissu,Traction,Essence
Automatique,hyundai,104720,Coupé,Blanc,Noir,1600cm³,19.12.2024,Tunis,FL (SB)01/2015 - Aujourd'hui,87 000km,Hyundai,09.2019,veloster,Veloster,,4,4,112 000DT,,,11cv,,Cuir intégral,Traction,Essence
Automatique,hyundai,99439,SUV/4x4,Gris anthracite,Noir,1600cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,51 000km,Hyundai,11.2021,tucson-hybride,Tucson Hybride,,5,5,145 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Automatique,hyundai,108851,SUV/4x4,Noir,Noir,1699cm³,19.12.2024,Ariana,Phase 209/2013 - 05/2017,160 000km,Hyundai,12.2016,ix35,ix35,2.0 CRDi 16V DPF 4WD,5,4,66 500DT,184ch dyn,,11cv,,Cuir intégral,Traction,Diesel
Manuelle,hyundai,108683,Compacte,Bleu,Noir,1198cm³,19.12.2024,Tunis,III Phase 110/2020 - 11/2023,54 000km,Hyundai,06.2022,i20,i20,1.2 i 16V,5,5,64 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108950,Compacte,Rouge,Noir,1198cm³,19.12.2024,Tunis,III Phase 110/2020 - 11/2023,76 000km,Hyundai,06.2022,i20,i20,1.2 i 16V,5,5,53 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108508,Compacte,Rouge,Noir,1198cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,47 000km,Hyundai,04.2023,grand-i10,Grand i10,1.2 83cv,5,5,48 500DT,83ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,108298,SUV/4x4,Gris Shark,Noir,2000cm³,18.12.2024,Tunis,III07/2015 - 07/2018,81 000km,Hyundai,03.2018,tucson,Tucson,2.0 CRDi 16V AWD,5,5,100 000DT,185ch dyn,,10cv,,Similicuir,Traction,Diesel
Automatique,hyundai,107956,SUV/4x4,Autre,Noir,1600cm³,18.12.2024,Tunis,IV10/2020 - Aujourd'hui,16 000km,Hyundai,02.2023,tucson-hybride,Tucson Hybride,1.6 CRDi 16V Mild Hybrid 2WD DCT7 S&S,5,5,178 000DT,136ch dyn,,7cv,,Alcantara,Traction,Diesel
Automatique,hyundai,108442,Monospace,Blanc,Noir,1200cm³,18.12.2024,Tunis,II phase 111/2020 - 11/2023,69 000km,Hyundai,09.2021,grand-i10,Grand i10,1.2 83cv boite auto,5,5,51 000DT,83ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,109389,Citadine,Rouge,Noir,1197cm³,17.12.2024,Ben Arous,III Phase 110/2020 - 11/2023,55 500km,Hyundai,03.2022,i20,i20,1.2 i 16V,5,5,64 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,109316,SUV/4x4,Autre,Noir,1600cm³,17.12.2024,Ben Arous,09/2017 - 10/2020,22 000km,Hyundai,06.2020,kona,Kona,1.6 GDi 16V 141 Hybrid 2WD DCT6 S&S,5,5,89 000DT,,141ch dyn,5cv,105ch dyn,Cuir intégral,Intégrale,Hybride essence
Manuelle,hyundai,109378,Citadine,Blanc,Noir,1200cm³,17.12.2024,Bizerte,II 5 Portes11/2014 - 07/2018,163 000km,Hyundai,09.2019,i20,i20,1.2 i 16V,5,5,45 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,103544,SUV/4x4,Noir,Noir,1600cm³,17.12.2024,Tunis,Phase 210/2020 - Aujourd'hui,20 000km,Hyundai,05.2023,kona,Kona,1.6 T-GDi 16V 4WD DCT7 S&S,4,5,100 000DT,199ch dyn,,11cv,,Alcantara,Intégrale,Essence
Automatique,hyundai,108272,SUV/4x4,Noir,Beige,1600cm³,16.12.2024,Sfax,IV10/2020 - Aujourd'hui,37 000km,Hyundai,07.2022,tucson,Tucson,,5,5,145 000DT,,,10cv,,Cuir intégral,Intégrale,Essence
Manuelle,hyundai,109331,Citadine,Autre,Noir,1197cm³,16.12.2024,Tunis,II 5 Portes11/2014 - 07/2018,123 500km,Hyundai,10.2017,i20,i20,1.2 i 16V,5,4,41 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,109321,SUV/4x4,Gris argent,Noir,1500cm³,15.12.2024,Ariana,I Phase 210/2018 - 09/2023,52 000km,Hyundai,10.2020,creta,Creta,1.6 l,5,5,82 500DT,123ch dyn,,7cv,,Tissu,Traction,Essence
Automatique,hyundai,108048,SUV/4x4,Rouge,Rouge,1600cm³,14.12.2024,Ariana,III phase 207/2018 - 10/2020,80 000km,Hyundai,01.2020,tucson,Tucson,1.6 CRDi 16V 2WD DCT7 S&S,5,5,98 000DT,136ch dyn,,7cv,,Alcantara,Traction,Diesel
Manuelle,hyundai,109018,Berline,Gris anthracite,Gris,1200cm³,13.12.2024,Nabeul,I01/2014 - 10/2020,134 000km,Hyundai,10.2017,grand-i10,Grand i10,1.2 87cv,5,5,37 000DT,87ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,109194,Citadine,Gris argent,Gris,1200cm³,12.12.2024,Tunis,III Phase 110/2020 - 11/2023,26 100km,Hyundai,04.2022,i20,i20,1.2 i 16V,5,5,64 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,109161,Citadine,Orange,Autre,1248cm³,10.12.2024,Nabeul,I01/2014 - 10/2020,208 000km,Hyundai,03.2015,grand-i10,Grand i10,1.2 87cv,5,5,32 000DT,87ch dyn,,5cv,,Tissu,Traction,Essence
