Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Manuelle,kia,109441,Berline,Noir,Noir,1598cm³,20.12.2024,Ariana,,189 000km,KIA,12.2015,cerato,Cerato,,5,4,42 000DT,,,7cv,,Tissu,Traction,Essence
Manuelle,kia,109438,Citadine,Gris anthracite,Noir,1198cm³,20.12.2024,Ben Arous,IV Phase 209/2020 - Aujourd'hui,112 000km,KIA,07.2022,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,49 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,109224,Citadine,Blanc,Noir,1198cm³,20.12.2024,Ben Arous,(TA) 5 Portes05/2011 - 01/2015,100 000km,KIA,07.2013,picanto,Picanto,,5,4,32 500DT,,,5cv,,Tissu,Traction,Essence
Automatique,kia,109221,SUV/4x4,Blanc,Noir,2198cm³,20.12.2024,Ben Arous,II Phase 209/2012 - 12/2014,273 000km,KIA,07.2013,sorento,Sorento,,5,4,58 000DT,,,12cv,,Similicuir,Traction,Diesel
Automatique,kia,109146,SUV/4x4,Noir,Noir,1598cm³,20.12.2024,Ben Arous,IV Phase 207/2018 - 12/2021,79 000km,KIA,06.2020,sportage,Sportage,,5,4,120 000DT,,,7cv,,Similicuir,Traction,Diesel
Automatique,kia,108747,Berline,Gris argent,Noir,1998cm³,20.12.2024,Tunis,11/2010 - 07/2015,206 000km,KIA,06.2012,optima,Optima,,5,4,40 000DT,,,10cv,,Similicuir,Traction,Essence
Manuelle,kia,108746,Berline,Noir,Marron,1198cm³,20.12.2024,Ben Arous,III Sedan02/2012 - 10/2018,87 000km,KIA,12.2017,rio,Rio Berline,,5,4,44 500DT,,,5cv,,Similicuir,Traction,Essence
Automatique,kia,108618,Citadine,Rouge,Noir,1198cm³,20.12.2024,Tunis,(TA) 5 Portes05/2011 - 01/2015,111 000km,KIA,05.2019,picanto,Picanto,1.2 MPi 16V,5,4,40 900DT,85ch dyn,,5cv,,Similicuir,Traction,Essence
Automatique,kia,108532,SUV/4x4,Blanc,Gris,1998cm³,20.12.2024,Tunis,IV Phase 109/2015 - 07/2018,143 000km,KIA,12.2016,sportage,Sportage,,5,4,100 000DT,,,10cv,,Similicuir,Traction,Diesel
Automatique,kia,108129,SUV/4x4,Noir,Gris,1598cm³,20.12.2024,Ben Arous,IV Phase 109/2015 - 07/2018,150 000km,KIA,02.2018,sportage,Sportage,1.6 GDi CVVT 16V 4x2  Boite Auto,5,4,76 000DT,132ch dyn,,8cv,,Similicuir,Traction,Essence
