Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Manuelle,mercedes-benz,109439,Berline,Blanc,Noir,1598cm³,20.12.2024,Ariana,(117) Coupé02/2013 - 01/2016,316 000km,Mercedes-Benz,10.2015,cla,CLA,200 1.6 i 16V Turbo,5,4,59 900DT,156ch dyn,,8cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,109386,Berline,Noir,Noir,1798cm³,20.12.2024,Tunis,,190 000km,Mercedes-Benz,11.2011,classe-c,Classe C,,5,4,53 000DT,,,11cv,,Tissu,Traction,Essence
Automatique,mercedes-benz,108899,Berline,Noir,Noir,1298cm³,20.12.2024,Ariana,II (118) Coupé05/2019 - Aujourd'hui,100 000km,Mercedes-Benz,09.2020,cla,CLA,,5,4,144 900DT,,,7cv,,Alcantara,Traction,Essence
Automatique,mercedes-benz,108748,Berline,Noir,Noir,1598cm³,20.12.2024,Ariana,(205) Berline03/2014 - 04/2021,172 000km,Mercedes-Benz,12.2018,classe-c,Classe C,,5,4,105 000DT,,,8cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,108533,SUV/4x4,Noir,Noir,2987cm³,20.12.2024,Tunis,(164) Phase 204/2008 - 12/2013,240 000km,Mercedes-Benz,06.2009,ml,ML,ML 280 3.0 CDI V6 4-Matic,5,4,80 000DT,190ch dyn,,15cv,,Similicuir,Traction,Diesel
Automatique,mercedes-benz,108367,SUV/4x4,Noir,Gris,2987cm³,20.12.2024,Ben Arous,(164)05/2005 - 04/2008,283 000km,Mercedes-Benz,07.2006,ml,ML,,5,4,38 000DT,,,15cv,,Similicuir,Traction,Diesel
Manuelle,mercedes-benz,108289,Citadine,Noir,Noir,1598cm³,20.12.2024,Ben Arous,(W176)09/2012 - 06/2015,174 000km,Mercedes-Benz,05.2014,classe-a,Classe A,,5,4,56 000DT,,,6cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,108035,Berline,Noir,Marron,1598cm³,20.12.2024,Ben Arous,(213) Berline01/2016 - 06/2020,252 000km,Mercedes-Benz,10.2017,classe-e,Classe E,,5,4,110 000DT,,,9cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,107973,SUV/4x4,Noir,Beige,2998cm³,20.12.2024,Ben Arous,(164)05/2005 - 04/2008,237 000km,Mercedes-Benz,01.2006,ml,ML,,5,4,56 000DT,,,15cv,,Similicuir,Traction,Diesel
Automatique,mercedes-benz,107754,Berline,Blanc,Noir,1595cm³,20.12.2024,Tunis,(205) Berline03/2014 - 04/2021,146 000km,Mercedes-Benz,03.2017,classe-c,Classe C,,5,4,119 000DT,,,8cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,107711,Berline,Noir,Noir,1998cm³,20.12.2024,Ben Arous,(213) Phase 2 Berline07/2020 - 12/2022,37 000km,Mercedes-Benz,11.2021,classe-e,Classe E,,5,4,260 000DT,,,10cv,,Alcantara,Traction,Hybride essence
Automatique,mercedes-benz,107606,Berline,Noir,Beige,3498cm³,20.12.2024,Ben Arous,(221) Berline10/2004 - 06/2009,112 000km,Mercedes-Benz,07.2007,classe-s,Classe S,350 3.5 i V6 24V 7G-TRONIC,5,4,78 000DT,272ch dyn,,19cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,107559,Coupé,Noir,Noir,1798cm³,20.12.2024,Ben Arous,(207) Coupé05/2009 - 12/2014,194 000km,Mercedes-Benz,10.2009,classe-e-coupe,Classe E coupé,,4,2,49 500DT,,,12cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,107404,Berline,Noir,Noir,2198cm³,20.12.2024,Ben Arous,(212) Berline02/2009 - 02/2013,189 000km,Mercedes-Benz,11.2009,classe-e,Classe E,,5,4,63 900DT,,,11cv,,Similicuir,Traction,Diesel
Automatique,mercedes-benz,107285,Berline,Blanc,Marron,1598cm³,20.12.2024,Ariana,(117) Coupé02/2013 - 01/2016,191 000km,Mercedes-Benz,12.2013,cla,CLA,,5,4,77 500DT,,,8cv,,Similicuir,Traction,Essence
Automatique,mercedes-benz,106865,Berline,Noir,Noir,1332cm³,20.12.2024,Tunis,II (118) Coupé05/2019 - Aujourd'hui,36 000km,Mercedes-Benz,09.2022,cla,CLA,,5,4,185 370DT,,,7cv,,Alcantara,Traction,Essence
