Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,mercedes-benz,108889,Berline,Noir,Beige,1599cm³,20.12.2024,Tunis,(205) Berline03/2014 - 04/2021,27 000km,Mercedes-Benz,01.2022,classe-c,Classe C,,5,5,159 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,mercedes-benz,108668,Pick up,Noir,Noir,2000cm³,20.12.2024,Tunis,09/2017 - Aujourd'hui,68 000km,Mercedes-Benz,08.2020,classe-x,Classe X,,5,5,205 000DT,,,8cv,,Cuir intégral,Traction,Diesel
Automatique,mercedes-benz,108350,Berline,Noir,Beige,1599cm³,20.12.2024,Tunis,(206) Berline03/2021 - Aujourd'hui,20 000km,Mercedes-Benz,01.2023,classe-c,Classe C,180 1.5 i 16V EQ Boost 9G-TRONIC,5,5,255 100DT,170ch dyn,,9cv,,Cuir intégral,Traction,Essence
Manuelle,mercedes-benz,108347,Citadine,Blanc,Noir,1799cm³,20.12.2024,Tunis,II (118) Coupé05/2019 - Aujourd'hui,150 000km,Mercedes-Benz,08.2020,cla,CLA,,5,5,129 000DT,,,9cv,,Alcantara,Traction,Essence
Automatique,mercedes-benz,107626,SUV/4x4,Gris Shark,Noir,1999cm³,20.12.2024,Tunis,(X247)01/2020 - Aujourd'hui,26 000km,Mercedes-Benz,04.2023,gla,GLA,250e 1.4 i 16V 218 EQ Power 8G-DCT,5,5,225 000DT,,218ch dyn,8cv,158ch dyn,Alcantara,Traction,Hybride rechargeable essence
Automatique,mercedes-benz,107556,Berline,Blanc,Noir,1599cm³,20.12.2024,Tunis,(205) Berline03/2014 - 04/2021,120 000km,Mercedes-Benz,07.2019,classe-c,Classe C,,5,5,152 000DT,,,10cv,,Cuir intégral,Traction,Hybride essence
Automatique,mercedes-benz,107534,SUV/4x4,Noir,Noir,1999cm³,20.12.2024,Tunis,(X247)01/2020 - Aujourd'hui,90 000km,Mercedes-Benz,08.2021,gla,GLA,,5,5,173 000DT,,,9cv,,Alcantara,Traction,Essence
Automatique,mercedes-benz,107421,Berline,Noir,Noir,1599cm³,20.12.2024,Tunis,(117) Coupé02/2013 - 01/2016,124 000km,Mercedes-Benz,01.2014,cla,CLA,,5,5,83 000DT,,,9cv,,Alcantara,Traction,Essence
Automatique,mercedes-benz,107358,Coupé,Noir,Noir,1599cm³,20.12.2024,Tunis,(204) Phase 2 Coupé04/2011 - 08/2015,200 000km,Mercedes-Benz,08.2012,classe-c-coupe,Classe C coupé,180 1.6 i 16V 7G-TRONIC+,4,3,63 000DT,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
Automatique,mercedes-benz,106990,Berline,Blanc,Noir,1497cm³,20.12.2024,Tunis,(205) Berline03/2014 - 04/2021,120 000km,Mercedes-Benz,07.2019,classe-c,Classe C,200 1.5 i 16V EQ Boost 4MATIC 9G-TRONIC,5,5,152 000DT,,,10cv,184ch dyn,Alcantara,Traction,Hybride essence
Automatique,mercedes-benz,106370,Coupé,Noir,Marron,1599cm³,20.12.2024,Tunis,(205) Coupé09/2015 - 04/2021,130 000km,Mercedes-Benz,10.2018,classe-c-coupe,Classe C coupé,,5,3,167 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,mercedes-benz,105149,Berline,Noir,Gris,2999cm³,20.12.2024,Tunis,(223)07/2020 - Aujourd'hui,3 000km,Mercedes-Benz,07.2022,classe-s,Classe S,,5,5,630 000DT,,,16cv,,Cuir intégral,Traction,Hybride essence
